E_low[eV],E_high[eV],flux_bin [n·s⁻¹],err_bin [n·s⁻¹],flux_per_energy [n·cm⁻²·s⁻¹/eV],err_per_energy [n·cm⁻²·s⁻¹/eV],flux_per_lethargy [n·cm⁻²·s⁻¹],err_per_lethargy [n·cm⁻²·s⁻¹]
12.6,13.3297,331146918984.3661,19851017058.065704,453812414669.5431,27204353923.620216,5881279682218.737,352560681080.9292
13.3297,13.546,126498768652.8913,15805179620.406515,584830183323.5881,73070640871.04308,7858605754192.752,981880510250.6248
13.546,14.0496,226675959767.05124,15816826305.244213,450111119473.89,31407518477.45075,6209508949547.069,433282490991.8902
14.0496,14.2505,75777640408.3909,8336770185.281523,377190843247.34,41497113913.79538,5337134805043.555,587171441044.0857
14.2505,14.4702,101799786607.88205,11644531863.24194,463358154792.36346,53001965695.22969,6653790595066.712,761104508932.1908
14.4702,14.5952,57483590301.52508,7223493309.043584,459868722412.2006,57787946472.34867,6683072377768.98,839807123240.6558
14.5952,14.7301,72649068941.28943,9584951315.578133,538540170061.44867,71052270686.2723,7896342475438.214,1041803553729.9435
14.7301,14.8662,47207881784.571205,6862294353.069891,346861732436.23474,50420972469.28686,5132857673639.217,746129224557.5342
14.8662,15.7792,321086483396.0587,18481693089.811424,351682895285.935,20242818280.18775,5386339484501.751,310036947607.3573
15.7792,16.0498,117818835667.4414,11969709704.62793,435398505792.46356,44233960475.34314,6928899101374.146,703935922862.163
16.0498,16.5501,187608092895.26367,15347101575.458857,374991191075.8823,30675797672.314365,6111617832584.965,499955083064.7301
16.5501,16.8305,121008888369.32797,13931388199.435436,431558089762.225,49683980739.78397,7202579859727.342,829211287001.0499
16.8305,17.4457,210410701030.74597,16939360333.470312,342019995173.5154,27534720958.1768,5860628673902.79,471816786891.46686
17.4457,17.5648,48135630348.489174,9342226592.94404,404161463883.19,78440189697.26112,7074906528135.601,1373107185492.9253
17.5648,17.759,61770637702.03001,7282686328.545148,318077434099.024,37500959467.27704,5617766933412.592,662328186415.5394
17.759,17.9591,68315792552.876816,8207083927.696531,341408258635.0682,41014912182.391655,6097131480913.847,732475872885.9011
17.9591,19.0848,377955269477.6171,23294099737.886005,335751327598.4867,20692990794.95955,6215897287416.57,383097533138.4062
19.0848,19.1997,33156291778.288906,5709057122.615988,288566508079.1061,49687181223.81248,5523787361934.584,951120161245.4948
19.1997,19.3927,58861095251.18418,9753051360.787012,304979768140.84845,50533944874.54375,5884877010680.8545,975100913296.8933
19.3927,19.5974,55450844643.85594,7060057638.32606,270888347063.29367,34489778399.248146,5280909089978.953,672370687903.354
19.5974,20.0734,147810445412.5485,13119625792.243906,310526145824.6823,27562239059.33599,6158966911796.454,546668680444.43146
20.0734,20.2751,54308828045.4886,8701793892.326141,269255468743.12793,43142260249.51012,5431959268133.149,870351868819.823
20.2751,20.4175,44759497447.83659,9747652399.737806,314322313538.1737,68452615166.69708,6395256929888.747,1392748916187.4617
20.4175,20.5199,23768277757.220116,3946524118.100626,232112087472.8541,38540274590.82666,4751017821457.778,788866850574.1147
20.5199,20.6021,29082444661.58113,5773208743.154929,353801029946.2413,70233683006.75073,7274488443267.277,1444071871238.8628
20.6021,20.6847,29748703268.96005,6186483136.624407,360153792602.4248,74896890273.90382,7434783923086.822,1546123370446.6868
20.6847,20.7676,16895148655.396652,2692703441.3182654,203801551934.81552,32481344286.106083,4224013088519.7197,673211867597.1138
20.7676,20.9763,65410802932.948166,8435060927.247571,313420234465.49677,40417158252.26498,6541609706376.479,843574363276.398
20.9763,21.0604,30878296687.73014,6613862847.260565,367161672862.4145,78642840038.76733,7717117102759.137,1652939428947.811
21.0604,21.1448,19059918690.564266,4716129158.341837,225828420504.31946,55878307563.29276,4765557297739.743,1179175215408.7368
21.1448,21.2296,15402779030.23995,1998934459.560149,181636545167.9211,23572340325.00139,3848362103731.843,499430888861.82184
21.2296,21.336,52491650872.45415,11072226263.932049,493342583387.7401,104062276916.65736,10499678730707.738,2214729707920.037
21.336,21.4859,35100816819.78096,6626655356.686484,234161553167.31424,44207173827.12729,5013590588693.928,946511789209.3796
21.4859,21.7018,56458656199.21079,7494074894.513848,261503734132.52145,34710861021.37067,5646801848119.07,749531760284.3522
21.7018,22.0011,84149139423.45956,9956245554.128258,281153155440.8918,33265103755.857597,6143460042592.319,726873704889.8711
22.0011,22.1557,31733277801.22502,4637504340.86484,205260529115.29965,29996793925.38735,4531796290117.317,662277155829.2327
22.1557,22.3788,48415148331.437,8553980404.465344,217010974143.6005,38341463041.08199,4832176978495.366,853748229830.7582
22.3788,22.5356,33711850308.340538,5030264681.317443,214999045333.80377,32080769651.259098,4828247138044.686,720439869928.1526
22.5356,24.6578,550183570468.0349,26870520666.535618,259251517513.91672,12661634467.314854,6111291968684.979,298470557752.36664
24.6578,27.8852,705893460643.8593,25619271475.92111,218718925650.32513,7938052759.472366,5735224315760.113,208150771912.1558
27.8852,31.693,774728893892.4473,33250110815.969227,203458399572.574,8732105366.87043,6048451201506.722,259589740747.42627
31.693,33.0855,254214790303.37097,16934651961.36562,182559993036.53186,12161329954.302044,5911614925354.599,393805337490.49536
33.0855,34.5392,284999390457.58325,17867222554.068245,196051035604.03363,12290859568.045862,6627414428434.764,415486813360.4325
34.5392,35.698,244993870102.90247,18767440872.653534,211420322836.471,16195582389.241928,7423775180313.913,568688766334.8259
35.698,36.0568,67677558598.9379,10114398405.885406,188621958191.01862,28189516181.39728,6767180839194.692,1011353903853.1929
36.0568,36.4191,65518307184.37445,9456330860.387398,180839931505.31293,26100830417.851116,6553186515464.468,945828769746.3635
36.4191,36.8588,77796540324.00339,9242191376.814621,176930953659.32007,21019311750.772297,6482447660062.589,770111647831.1733
36.8588,37.3038,82882276222.6862,10681053203.068993,186252306118.39584,24002366748.469635,6906353307517.414,890022939507.467
37.3038,37.7919,80842982009.56213,9075285499.65423,165627908235.12155,18593086456.984856,6218840488927.295,698115674495.3944
37.7919,38.7874,169923309613.48746,14762108995.528404,170691421008.0236,14828838769.993378,6535162511452.387,567743069017.3766
38.7874,39.7295,140025008809.9114,13622289696.365934,148630727958.72083,14459494423.485706,5834591957718.489,567616474968.5931
39.7295,41.227,199804435841.83218,15831335076.23264,133425332782.52608,10571843122.69295,5399899922609.528,427856492238.3769
41.227,42.1441,145397648137.87854,13664606745.569347,158540669652.03116,14899800180.535683,6608455148379.825,621068785876.862
42.1441,43.1246,123625582437.56859,12416142954.068233,126084224821.58968,12663072875.133345,5375163567863.524,539846186721.07227
43.1246,44.1721,165207467931.4067,17544267662.00597,157715959839.05185,16748704211.938885,6883545803972.965,731000671826.2972
44.1721,45.2904,149990027176.31564,13298880647.160822,134123247050.26912,11892051012.394571,5999031749611.828,531904745525.7337
45.2904,46.2053,102030692880.0274,9416992467.407444,111521142070.2012,10292919955.631668,5101597412038.78,470855416589.24396
46.2053,47.5173,173829948136.10086,15757245846.691288,132492338518.36981,12010095919.734234,6208154842358.173,562753559753.5442
47.5173,49.2591,221053295101.30276,15160821728.923506,126910836549.14632,8704111682.698086,6139992220763.22,421108074563.23553
49.2591,51.7847,323712829691.20496,19319302364.389366,128172644001.90228,7649391180.071798,6473502378231.813,386341035420.0488
51.7847,52.9895,128762054716.1448,12481134185.996513,106874215401.84673,10359507126.49114,5598460038271.263,542668654415.63605
52.9895,54.06,135666319425.42621,10744976451.648241,126731732298.38942,10037343719.428505,6782945112475.814,537219450008.28033
54.06,57.0595,306066455663.75037,19217673368.71492,102039158414.31926,6406958949.396544,5667204307017.542,355839325972.03125
57.0595,59.925,278699754216.35156,19125380509.6686,97260427226.08684,6674360673.414278,5687274301763.298,390281237921.8853
59.925,62.3083,218285348223.45053,17389375586.45203,91589538968.42615,7296343551.567989,5596581665897.559,445843302725.56866
62.3083,63.6306,129098433128.74478,12378043951.47773,97631727390.71689,9360995198.879032,6147477298595.761,589424227301.385
63.6306,64.5923,111683107055.47905,14421594686.527792,116130921342.9134,14995939156.210764,7445112342207.794,961384361751.7706
64.5923,65.046,43619111942.1879,6063144199.795636,96140868287.8262,13363773858.92765,6231731198703.223,866223157458.6187
65.046,65.5029,48720501233.12807,7529869315.733308,106632745093.30072,16480344311.082222,6960351159359.567,1075738822365.67
